,spatial_sense,error_type,spatial_sense_label,count
62,Through(1),ad,Through,3
63,Through(1),ag,Through,2
64,Through(1),gr,Through,3
65,Through(1),in,Through,3
66,Through(1),om,Through,1
67,Through(1),wl,Through,2
68,Through(1),ws,Through,1
69,Through(1),wt,Through,1
70,Through(2),ag,Through,1
71,Through(2),cc,Through,1
72,Through(2),sp,Through,1
73,Through(2),un,Through,1
74,Through(2),wl,Through,1
75,Through(3),ad,Through,1
76,Through(3),ag,Through,1
77,Through(3),an,Through,1
78,Through(3),cc,Through,1
79,Through(3),co,Through,1
80,Through(3),gr,Through,1
81,Through(3),in,Through,4
82,Through(3),om,Through,1
83,Through(3),sp,Through,3
84,Through(3),un,Through,1
85,Through(3),wl,Through,3
86,Through(3),wt,Through,2
87,Through(5),ad,Through,7
88,Through(5),ag,Through,11
89,Through(5),an,Through,7
90,Through(5),cc,Through,4
91,Through(5),co,Through,5
92,Through(5),gr,Through,19
93,Through(5),ie,Through,7
94,Through(5),in,Through,9
95,Through(5),om,Through,6
96,Through(5),po,Through,5
97,Through(5),sp,Through,2
98,Through(5),wl,Through,13
99,Through(5),wt,Through,2
160,Through(1),ag,Through,4
161,Through(1),cc,Through,2
162,Through(1),in,Through,3
163,Through(2),ag,Through,1
164,Through(2),in,Through,1
165,Through(2),om,Through,1
166,Through(2),sp,Through,1
167,Through(2),un,Through,1
168,Through(2),wt,Through,1
169,Through(3),ad,Through,1
170,Through(3),ag,Through,3
171,Through(3),an,Through,1
172,Through(3),cc,Through,2
173,Through(3),co,Through,1
174,Through(3),gr,Through,2
175,Through(3),in,Through,1
176,Through(3),sp,Through,2
177,Through(3),wl,Through,1
178,Through(5),ad,Through,3
179,Through(5),ag,Through,3
180,Through(5),an,Through,2
181,Through(5),cc,Through,13
182,Through(5),co,Through,4
183,Through(5),gr,Through,6
184,Through(5),ie,Through,7
185,Through(5),in,Through,16
186,Through(5),om,Through,7
187,Through(5),po,Through,2
188,Through(5),sp,Through,3
189,Through(5),un,Through,2
190,Through(5),wl,Through,11
191,Through(5),ws,Through,1
192,Through(5),wt,Through,7
248,Through(1),ag,Through,3
249,Through(1),cc,Through,1
250,Through(1),gr,Through,1
251,Through(2),cc,Through,1
252,Through(2),sp,Through,1
253,Through(2),un,Through,1
254,Through(2),wl,Through,1
255,Through(3),ad,Through,1
256,Through(3),ag,Through,1
257,Through(3),an,Through,2
258,Through(3),cc,Through,3
259,Through(3),co,Through,1
260,Through(3),gr,Through,1
261,Through(3),ie,Through,1
262,Through(3),in,Through,1
263,Through(3),po,Through,2
264,Through(3),sp,Through,1
265,Through(3),un,Through,1
266,Through(3),wl,Through,1
267,Through(3),wt,Through,2
268,Through(5),ad,Through,2
269,Through(5),ag,Through,3
270,Through(5),an,Through,7
271,Through(5),cc,Through,12
272,Through(5),co,Through,7
273,Through(5),gr,Through,4
274,Through(5),ie,Through,6
275,Through(5),in,Through,1
276,Through(5),om,Through,1
277,Through(5),po,Through,1
278,Through(5),sp,Through,4
279,Through(5),un,Through,1
280,Through(5),wl,Through,7
281,Through(5),wt,Through,2
328,Through(1),ag,Through,1
329,Through(1),cc,Through,2
330,Through(1),co,Through,1
331,Through(1),in,Through,1
332,Through(1),po,Through,2
333,Through(1),wl,Through,1
334,Through(2),cc,Through,2
335,Through(2),in,Through,1
336,Through(3),an,Through,3
337,Through(3),cc,Through,3
338,Through(3),ie,Through,1
339,Through(3),sp,Through,2
340,Through(3),un,Through,1
341,Through(3),wl,Through,1
342,Through(5),ag,Through,1
343,Through(5),an,Through,6
344,Through(5),cc,Through,19
345,Through(5),co,Through,6
346,Through(5),gr,Through,2
347,Through(5),ie,Through,11
348,Through(5),in,Through,3
349,Through(5),om,Through,1
350,Through(5),po,Through,1
351,Through(5),sp,Through,1
352,Through(5),un,Through,1
353,Through(5),wl,Through,7
354,Through(5),wt,Through,3
421,Through(1),ag,Through,1
422,Through(1),cc,Through,1
423,Through(1),co,Through,1
424,Through(1),gr,Through,1
425,Through(1),in,Through,3
426,Through(1),po,Through,1
427,Through(1),un,Through,1
428,Through(1),wl,Through,1
429,Through(2),ad,Through,1
430,Through(2),in,Through,1
431,Through(2),ws,Through,1
432,Through(3),ag,Through,1
433,Through(3),an,Through,3
434,Through(3),co,Through,1
435,Through(3),gr,Through,3
436,Through(3),in,Through,3
437,Through(3),un,Through,3
438,Through(3),wl,Through,5
439,Through(3),ws,Through,1
440,Through(5),ad,Through,4
441,Through(5),ag,Through,4
442,Through(5),an,Through,6
443,Through(5),cc,Through,7
444,Through(5),co,Through,9
445,Through(5),gr,Through,5
446,Through(5),ie,Through,7
447,Through(5),in,Through,16
448,Through(5),om,Through,4
449,Through(5),sp,Through,2
450,Through(5),un,Through,8
451,Through(5),wl,Through,10
452,Through(5),ws,Through,1
453,Through(5),wt,Through,10
478,Through(1),cc,Through,5
479,Through(1),po,Through,1
480,Through(2),cc,Through,2
481,Through(2),un,Through,1
482,Through(3),an,Through,1
483,Through(3),cc,Through,7
484,Through(3),sp,Through,1
485,Through(3),un,Through,1
486,Through(5),an,Through,1
487,Through(5),cc,Through,41
488,Through(5),co,Through,1
489,Through(5),sp,Through,3
490,Through(5),wl,Through,1
491,Through(5),ws,Through,1
563,Through(1),ad,Through,1
564,Through(1),ag,Through,2
565,Through(1),cc,Through,1
566,Through(1),co,Through,2
567,Through(1),gr,Through,1
568,Through(1),in,Through,2
569,Through(1),po,Through,1
570,Through(1),sp,Through,1
571,Through(2),cc,Through,1
572,Through(2),om,Through,1
573,Through(2),po,Through,1
574,Through(2),wl,Through,2
575,Through(3),ad,Through,3
576,Through(3),ag,Through,1
577,Through(3),an,Through,6
578,Through(3),co,Through,1
579,Through(3),ie,Through,3
580,Through(3),in,Through,4
581,Through(3),om,Through,1
582,Through(3),sp,Through,3
583,Through(3),un,Through,1
584,Through(3),wl,Through,6
585,Through(3),wt,Through,2
586,Through(5),ad,Through,8
587,Through(5),ag,Through,11
588,Through(5),an,Through,20
589,Through(5),cc,Through,5
590,Through(5),co,Through,12
591,Through(5),gr,Through,5
592,Through(5),ie,Through,6
593,Through(5),in,Through,4
594,Through(5),om,Through,5
595,Through(5),sp,Through,2
596,Through(5),un,Through,2
597,Through(5),wl,Through,12
598,Through(5),wt,Through,5
