,spatial_sense,error_type,spatial_sense_label,count
0,Across(2),an,Across,1
1,Across(2),gr,Across,1
2,Across(2),in,Across,3
3,Across(2),sp,Across,4
4,Across(2),un,Across,1
5,Across(2),wl,Across,1
6,Across(2),ws,Across,1
7,Across(2),wt,Across,1
8,Across(3),wl,Across,1
9,Across(4),ad,Across,1
10,Across(4),gr,Across,1
11,Across(4),om,Across,1
12,Across(4),wl,Across,1
13,Across(4),ws,Across,1
14,Across(5),co,Across,1
15,Across(5),gr,Across,1
16,Across(5),ie,Across,1
17,Across(5),po,Across,1
100,Across(2),ag,Across,1
101,Across(2),an,Across,1
102,Across(2),cc,Across,2
103,Across(2),in,Across,1
104,Across(2),sp,Across,2
105,Across(2),un,Across,1
106,Across(2),wl,Across,1
107,Across(3),cc,Across,1
108,Across(4),cc,Across,1
109,Across(4),wl,Across,1
110,Across(4),wt,Across,1
111,Across(5),cc,Across,1
112,Across(5),gr,Across,1
113,Across(5),un,Across,1
114,Across(5),wl,Across,1
115,Across(5),wt,Across,1
193,Across(2),ad,Across,1
194,Across(2),an,Across,1
195,Across(2),cc,Across,1
196,Across(2),in,Across,1
197,Across(2),om,Across,1
198,Across(2),sp,Across,2
199,Across(2),wl,Across,2
200,Across(2),ws,Across,2
201,Across(3),gr,Across,1
202,Across(4),cc,Across,1
203,Across(4),wl,Across,1
204,Across(4),ws,Across,1
205,Across(5),cc,Across,1
206,Across(5),ws,Across,1
282,Across(2),ad,Across,1
283,Across(2),cc,Across,2
284,Across(2),in,Across,1
285,Across(2),po,Across,1
286,Across(2),sp,Across,2
287,Across(2),un,Across,1
288,Across(2),wl,Across,1
289,Across(2),ws,Across,1
290,Across(3),cc,Across,1
291,Across(4),cc,Across,2
292,Across(4),wl,Across,1
293,Across(5),an,Across,1
294,Across(5),wl,Across,1
295,Across(5),wt,Across,1
355,Across(2),ag,Across,1
356,Across(2),an,Across,2
357,Across(2),cc,Across,1
358,Across(2),in,Across,2
359,Across(2),sp,Across,3
360,Across(2),un,Across,1
361,Across(2),wl,Across,1
362,Across(2),ws,Across,1
363,Across(2),wt,Across,1
364,Across(3),ws,Across,1
365,Across(4),ad,Across,1
366,Across(4),ag,Across,1
367,Across(4),wl,Across,1
368,Across(4),ws,Across,1
369,Across(5),ws,Across,1
370,Across(5),wt,Across,1
454,Across(2),cc,Across,6
455,Across(3),cc,Across,1
456,Across(4),cc,Across,3
457,Across(5),cc,Across,1
458,Across(5),po,Across,1
492,Across(2),ad,Across,1
493,Across(2),ag,Across,1
494,Across(2),an,Across,2
495,Across(2),cc,Across,1
496,Across(2),co,Across,1
497,Across(2),gr,Across,2
498,Across(2),sp,Across,2
499,Across(2),wl,Across,1
500,Across(2),wt,Across,2
501,Across(3),co,Across,1
502,Across(4),an,Across,1
503,Across(4),co,Across,2
504,Across(4),gr,Across,1
505,Across(4),om,Across,1
506,Across(4),wl,Across,1
507,Across(5),ad,Across,1
508,Across(5),ag,Across,1
509,Across(5),co,Across,1
510,Across(5),ie,Across,1
511,Across(5),wl,Across,1
512,Across(5),ws,Across,1
513,Across(5),wt,Across,1
