,spatial_sense,error_type,spatial_sense_label,count
51,Onto(1),co,Onto,1
52,Onto(1),gr,Onto,1
53,Onto(1),in,Onto,2
54,Onto(1),wl,Onto,2
55,Onto(2),gr,Onto,1
56,Onto(2),in,Onto,1
57,Onto(3),ag,Onto,2
58,Onto(3),gr,Onto,1
59,Onto(3),ie,Onto,1
60,Onto(3),in,Onto,1
61,Onto(3),wl,Onto,3
149,Onto(1),cc,Onto,1
150,Onto(1),in,Onto,1
151,Onto(1),un,Onto,1
152,Onto(1),wl,Onto,1
153,Onto(2),om,Onto,1
154,Onto(3),ag,Onto,2
155,Onto(3),co,Onto,1
156,Onto(3),in,Onto,1
157,Onto(3),om,Onto,1
158,Onto(3),un,Onto,1
159,Onto(3),wl,Onto,2
240,Onto(1),ag,Onto,1
241,Onto(1),an,Onto,1
242,Onto(1),cc,Onto,1
243,Onto(2),cc,Onto,1
244,Onto(3),an,Onto,1
245,Onto(3),cc,Onto,1
246,Onto(3),wl,Onto,2
247,Onto(3),wt,Onto,1
322,Onto(1),cc,Onto,2
323,Onto(2),cc,Onto,1
324,Onto(3),cc,Onto,1
325,Onto(3),ie,Onto,2
326,Onto(3),un,Onto,1
327,Onto(3),wl,Onto,1
405,Onto(1),ag,Onto,1
406,Onto(1),co,Onto,1
407,Onto(1),ie,Onto,1
408,Onto(1),in,Onto,1
409,Onto(1),om,Onto,1
410,Onto(1),wl,Onto,1
411,Onto(1),wt,Onto,1
412,Onto(2),om,Onto,1
413,Onto(3),ad,Onto,1
414,Onto(3),gr,Onto,1
415,Onto(3),ie,Onto,2
416,Onto(3),in,Onto,2
417,Onto(3),om,Onto,1
418,Onto(3),po,Onto,1
419,Onto(3),un,Onto,1
420,Onto(3),wl,Onto,1
472,Onto(1),cc,Onto,1
473,Onto(1),wl,Onto,1
474,Onto(2),cc,Onto,1
475,Onto(3),cc,Onto,2
476,Onto(3),po,Onto,1
477,Onto(3),wl,Onto,1
548,Onto(1),ag,Onto,1
549,Onto(1),cc,Onto,1
550,Onto(1),co,Onto,1
551,Onto(1),ie,Onto,1
552,Onto(1),wl,Onto,1
553,Onto(2),ws,Onto,1
554,Onto(3),ag,Onto,1
555,Onto(3),an,Onto,2
556,Onto(3),cc,Onto,1
557,Onto(3),co,Onto,1
558,Onto(3),gr,Onto,1
559,Onto(3),ie,Onto,1
560,Onto(3),in,Onto,1
561,Onto(3),un,Onto,1
562,Onto(3),wl,Onto,1
